hate_speech,tweet
non-hateful,"""I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"
non-hateful,"""If she kiss u with her eyes open watch that bitch!""lmfao"
non-hateful,"""You a woulda coulda shoulda ass hoe &"
non-hateful,"""Happy Bday Bitch Ass Nigga that bitch roll up!"
non-hateful,"""used to send that bitch up"""
non-hateful,"""Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&"
hateful,"""nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"
hateful,"""Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em."""
non-hateful,"""This isn't ghetto.....it's smart "
non-hateful,"""I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
non-hateful,"""Being single isn't an excuse to be a hoe."" "
hateful,"""White boy power bitch"" black power bitch"
non-hateful,"""Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill."
non-hateful,"""bitch where u been"" Around the world and back. Where you been?"
non-hateful,"""if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &*by *"
non-hateful,"""is soooo cute. But he probably has hoes on him a lot."""
non-hateful,"""In every cartoon theirs alway a saving these hoes lmao. lmao damn captain SaveAHoe"
non-hateful,"""Who wants to get there nose in these bad bois then hot sox and legs"
non-hateful,"""I wish I was a bitch like my brother keezy &ooooow I bet you do"
non-hateful,"""If you dressed up as a cat for Halloween you are basic."" ...or a pussy"
non-hateful,"""Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" get on it Katie&lt;3"
non-hateful,"""stop being scared to choke her during sex u bitch ass niggas. She&like it."". Says the guy who hits women out of bed. FOH"
non-hateful,"""ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"
non-hateful,"""Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" "
non-hateful,"""You're not a man if you refer to every girl as a bitch"""
non-hateful,"""Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"
non-hateful,"""Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"
non-hateful,"""io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"
non-hateful,"""naw it's my old tape. new cover . my upcoming mixtape is Yeah I'm waiting on that hoe Mayne!"
non-hateful,"""Ol dirty foot ass bitches.."" this was too funny to me."
non-hateful,"""that's where I get my yellow flags for being amazing &HELL YEAH NIGGY"
non-hateful,"""Don't got time for bitches to be actin iffy."""
non-hateful,"""come on stay alive knights nation!!!!"" This is still the early bird special. "
non-hateful,"""These hoes ain't loyal ; no they ain't &amp; wonder why nobody decent wants them"
non-hateful,"""Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"
non-hateful,"""dry pussy bitches always blame it on the condom&"
non-hateful,"""shut yo bitch ass up! "
non-hateful,"""Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""
non-hateful,"""You love these hoes more then money wats wrong these niggas"""
non-hateful,"""A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"
non-hateful,"""Easy cum, easy hoe"" That's a fact !"
non-hateful,"""Charlie Sheen is too real major fucking respect for Charlie Sheen."
non-hateful,"""Wish I had a bae &got all the hoes tho"
non-hateful,"""Fuck twerking bitch can you cook ?"""
non-hateful,"""bitch wtf"" "
hateful,"""&up zoe"" fight me pussy&for zoe? I'm good, man."" You are good ma'am. Move along now"
non-hateful,"""Lmao fucking snake bitches"" em"
non-hateful,"""Big booty hoes everywhere sheesh &damn &"
non-hateful,"""Stay tuned to for an update on the report that 1B will be out 8-10 weeks"" "
non-hateful,"""&play soccer, cheat on girls, and wear khaki coloured cargos"" haircut yes lmfao"""
non-hateful,"""Oregon chokes every year get off the field trash ass program"" RFT"
non-hateful,"""Def not cowboy lol RT Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo"
hateful,"""LMFAOOOO I HATE BLACK PEOPLE "
non-hateful,"""How could u do this to me bitch"" potent"
non-hateful,"""a pissed lad past out. I would lick his dirty soles while he slept."
non-hateful,"""love frat boy w/ soft long soles"
non-hateful,"""sexy lad with hot soles and arches."
non-hateful,"""nah fam I gotta cheat with the hoes"" depends on the female i feel"
non-hateful,"""&I got hicks lol"
hateful,"""This new twitter is confusing the shit out of me."" Go back to south america bitch"
non-hateful,"""Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"
non-hateful,"""but what if he actually does choose the ugly bitch over you? &ass must be fat!"
non-hateful,"""bitch couldn't kill my vibe if ya tried. &dis why i love miley :*"
non-hateful,"""I'm tired of bitches saying I look mean.. &nigga you big af, wear tight shirts, and grim everybody."
non-hateful,"""10 birds your grandkids may never see, thanks to climate change "
non-hateful,"""""Stay beautiful you bitch"""""
non-hateful,"""purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"
non-hateful,"""Money getting taller and bitches getting blurry"""
hateful,"""I ain't never seen a bitch so obsessed with they nigga&I'm obsessed with mine &"
non-hateful,"""Kobe stay talking trash. But let's not forget I meant to do this one. Smh."
hateful,"""""At least I'm not a nigger"" "
non-hateful,"""People always asking me what I'm mixed with."" She a bad asian bitch lol"
hateful,"""Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"
non-hateful,"""&home for imaginary trash&WHOA CHILL""

that show was everything tf"
non-hateful,"""I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"
non-hateful,"""&bringing weird niggers into my mentions! "
non-hateful,"""We don't love these hoes &"
non-hateful,"""If yo girl cant have homeboys you a ol weak bitch ass nigga!"""
non-hateful,"""I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""
non-hateful,"""Quote this tweet with your favorite animal.""pussy"
non-hateful,"""I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""
non-hateful,"""Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &smh"
non-hateful,"""When bitches TWERK on the computer....

ME: ""In ya &in ya damn &"
non-hateful,"""&THIS is art. nobody takin his bitch!"
non-hateful,"""61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""
non-hateful,"""These bitches don't care they just play that role."""
non-hateful,"""It took a while for you to find me, but I was hiding In the lime tree.""
dis bitch in da wrong tree bro."
hateful,"""Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes ....dudes a fag"
non-hateful,"""inna di ghetto!!!"" You alone lmaoo"
non-hateful,"""&Austin&teach us Austin.""I teach u how to get curved? That's all I know"
hateful,"""bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
non-hateful,"""Fat hoes get chose"" lol"
non-hateful,"""well they're hoes,no one expects them to be loyal"
non-hateful,"""ol bitch ass"" "
hateful,"""Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"
non-hateful,"""Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"
non-hateful,""": Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""
Me: *rolls on the floor, laughing*"
hateful,"""""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"
non-hateful,"""One of your followers with this &somebody, bitch if you don't"
non-hateful,"""If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"
non-hateful,"""These catfish hoes thinkin they slick.. But niggas catching on &"
non-hateful,"""Can't worry about a bitch that ain't worried bout me"" "
non-hateful,"""Side hoes are for insecure niggas that can't handle a real one."""
non-hateful,"""&Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"" &"
non-hateful,"""My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers &"
non-hateful,"""i'm hungry but ionn wanna spend my money on food&hoe problems &"
non-hateful,"""Dese hoes be LYIN to all of us nigga"""
non-hateful,"""oh yeah fuck that bitch"
non-hateful,"""Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"
non-hateful,"""USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team. &he's a bitch"
non-hateful,"""Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"
non-hateful,"""Chilling &sexy scally lad"
non-hateful,"""I ain't sharing no bitch if you mines you mines &"
non-hateful,"""money only impress the simple broke bitches"""
non-hateful,"""will never be anybody's bitch, they don't let people control or change them."" Rigghhht"
non-hateful,"""tuku ho idk blah blah blah"" &"
non-hateful,"""I'm not mad cuh hahaha"" suure.. tuku ho ita! &"
non-hateful,"""These hoes is crazy"""
non-hateful,"""You ain't ever gonna be a slice bitch."" Kevin hart. (:"
non-hateful,"""Oomf so fuckin fine tho &dam"" her, don't be no bitch."
hateful,"""I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"
non-hateful,"""bitch, yeah bitch, call me _______:
a.) Maybe
b.) Steve-O
c.) Later
d.) Jesse Pinkman""
"
non-hateful,"""Hickies in between her thighs right by her pussy &gt;&gt;&gt;"" Its only right"
non-hateful,"""Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."
hateful,"""y'all come through the front.""bitch I ain't coming"
hateful,"""faggot bitch"" "
non-hateful,"""yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up work 2-5"
non-hateful,"""this scally lad would get it"
hateful,"""Halloween was yesterday stupid nigger"
non-hateful,"""Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead* "
non-hateful,"""&love eating pussy lol I never get full lol&I can eat that shit forever lol"" and ever."
non-hateful,"""&slushes &nasty anyway fam""&hoes taste like meds""&"
non-hateful,"""&slushes &nasty anyway fam""&"
hateful,"""BOBBY BITCH-by be getting me live as fuck"" hell yea i play that hoe before my workout"
non-hateful,"""Yo bitch is Gucci Mane RT : My bitch a stoner &"
non-hateful,"""I can ride your bitch with no handle bars"""
non-hateful,"""And if you ain't a hoe get up out my traphoussseeeee"""
non-hateful,"""15 sad TV character deaths we're still bitter over... stark was the man"
non-hateful,"""These harbor bitches are all ""Party Bus hoes"""" Lol all?"
non-hateful,"""pussy"" love it"
non-hateful,"""Ultraviolence video, its coming you little bitch! Lana Del Rey 

bitchy promo"
non-hateful,"""On my way to fuck your bitch "
non-hateful,"""A smuggler explains how he helped fighters along the ""Jihadi Highway"": "
non-hateful,"""""Aww their avis look so cute together &&do I gotta get Ike avi on this bitch ?"
non-hateful,"""""Its simple, dont be a hoe=dont worry about being exposed &fight me""why ?"
non-hateful,"""whys this bitch boosting herself size isn't exactly the most healthy tho"
non-hateful,"""bet not be no bitches! &&Kim bye!!!"
non-hateful,"""Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"
non-hateful,"""I'm making marack my girlfriend ."" aye b you pullin hoes just like o taught you"
hateful,"""Bruno fag boy"" you love me."
non-hateful,"""&must be a bitch&you are &sike naw"" This why we always beefing &"
non-hateful,"""Down 6-1, look to rally in the bottom of the 9th."" "
non-hateful,"""&take advantage of a nice person&"
hateful,"""Happy birthday bitch nigga Thanks pal"
non-hateful,"""Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"
non-hateful,"""cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"
non-hateful,"""ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs""&"
hateful,"""I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."
non-hateful,"""My pussy still fresh"" &lt;----- something stank girls say."
non-hateful,"""Ass slapping is one the greatest things. Haha. &I slapped a girl on the ass. . She got mad I aint get pussy for a week"
non-hateful,"""yeah Texans are so much better you fucking retard"" I see that you're mad about this."
hateful,"""Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like black&amp;milds out here"
non-hateful,"""There's a lane some bitches need to stay in &the left n get right the fuck outta our face &"
non-hateful,"""I hate when boys deny that they have bitches &smh"
hateful,"""Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"
non-hateful,"""Im a boss ass bitch"" ...that needs to sit in a corner"
non-hateful,"""He's a hoe , I can't"""
non-hateful,"""Me And Paul Thinkin Bout Gettin Rentals For Da Weekend &shit bitches betta stay out da streets"
non-hateful,"""bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. &"
hateful,"""why do my friends hate me"" because you a ratchet hoe.."
hateful,"""No love for these fuck niggas"" hoes*"
non-hateful,"""Hot meat sexy as fuck scally lad. I would love to meet him and his trainers."
non-hateful,"""Sniff perved up scally lad. fuck yeah."
non-hateful,"""These bitches love Sosa"""
non-hateful,"""&legit watched it for about 30 or 40 seconds &DID I WTF"" prob cause were retarded smh"
non-hateful,"""What should I name my cat, ideas?"" Mr pussy"
non-hateful,"""woof woof. Sexy thug boy scally."
non-hateful,"""u see the damn phone ringing? &when you married bitches makes demands!!!! You haven't called me"
non-hateful,"""Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"
non-hateful,"""10 sex positions this what u call fucking the soul outta bitch &"
hateful,"""is bored supposed to be cute, you faggot?"" Sometimes"
non-hateful,"""One mans trash &is another mans treasure &"
non-hateful,"""I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"
hateful,"""lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"
non-hateful,"""god teeth , gold chain
white bitches , cocaine"""
hateful,"""Its me hoe, its me hoe&shhhhh"
non-hateful,"""In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe."
non-hateful,"""I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie"
non-hateful,"""hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone &ON. MY. SOUL!"
non-hateful,"""Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt; "
non-hateful,"""yall both gimped up??"" Ain't tht a bitch huh lol"
non-hateful,"""""Take me for a ride &woof woof"
hateful,"""oh my god I love Victoria Mitchell"" all my bitches love me"
non-hateful,"""That long distance shit wack I knew the bitch was cheating""- uh oh"
non-hateful,"""HE'S DOING IT RIGHT &no bitches smh"
non-hateful,"""they BAN dat pussy for life &amp; he gotta pay 2.5 millon dollar fine"""
hateful,"""Roses are red and violets are blue and niggers are black, you know that's true."" "
non-hateful,"""Sitting on my window sill, window open, bird tries to fly in. Smacked it. "
non-hateful,"""But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded"
non-hateful,"""a video an entire media will likely mock. i am such a crybaby"
non-hateful,"""I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*"
non-hateful,"""Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."" &"
non-hateful,"""Karma is a bitch &tea*"
non-hateful,"""Fuckin hot gym pussy fuck yeah"
non-hateful,"""Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport "
non-hateful,"""You can call me Fireman cause I turn the hoes on."""
non-hateful,"""I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God"
non-hateful,"""Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that"
non-hateful,"""And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?"
non-hateful,"""tweety bird tho &"
non-hateful,"""my pussy sweet like watermelon "
non-hateful,"""When twitter rappers dm me their trash links "
non-hateful,"""loud bitches annoy me"""
non-hateful,"""Eventually every bitch turns into that hoe."" Truuu"
non-hateful,"""""""I swear if oomf try talking to me tomorrow.."" pussy"
non-hateful,"""You bitches be pretending to be TF crazy.."" You ain't never lied..."
non-hateful,"""k bye hoe"" um bye .."
hateful,"""Jackies a retard At least I can make a grilled cheese!"
hateful,"""ima keep on giving these pussy ass niggas ah reason to hate !"""
non-hateful,"""Photo: he is in sole heaven"
hateful,"""Stacey Dash won &baddest bitch evaaaa"
non-hateful,"""Side bitch Sunday &&"
non-hateful,"""Facts what baldheaded bitch made this shit. &&"
non-hateful,"""Fuck wit us and then we tweakin hoe"" shmurda!"
non-hateful,"""We actin like it's the 7th day "
non-hateful,"""I'll break that lil bitch neck and won't even feel sorry about it"" Savage"
non-hateful,"""This is so fucking hot!! love me some kinky scallies"
hateful,"""Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."
non-hateful,"""I can turn yo bitch into a eaterrrrrrrrr"""
non-hateful,"""I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn"
non-hateful,"""&yall ima tryout for the bowling team frfr&tryouts passed tho"" no theres two more retard"
non-hateful,"""Now u got what u want bitch ! Enjoy it now this is a crazy party I would love to attend."
non-hateful,"""colored contacts in your eyes?
blinders on mine.
cause i can't see you at all."" Lmao"
non-hateful,"""Facts ""Only the dudes with hoes say they don't got hoes&"
non-hateful,"""I'm rea start smacking bitches period !"" Bluffin at its best"
non-hateful,"""Lifes a bitch, and then you die 
Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:"
non-hateful,"""One of us is on drugs, and its me but you're still wrong &hahahahahahah im a bitch sometimes (:"
hateful,"""I'm feeling pretty fuckin ghetto"" Smh"
non-hateful,"""""""""swears I'm man"" easily"" easily"" behind Austin"" nip?"
non-hateful,"""This is a true ride or die bitch &what the fuck hahahahah"
non-hateful,"""H.G.Wells and Charlie Chaplin "
non-hateful,"""All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)"
non-hateful,"""I'm about to cool faggot chill"" tf is cool nigga"
non-hateful,"""I'm so sure bitch"" frfr tf"
non-hateful,"""Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet."
non-hateful,"""Got a couple bitches saying they know me But I&let the money talk for me &AND I'M LIKE... "
non-hateful,"""Grudges are for weirdos""and bitches"
hateful,"""I told Mariam to but cigarettes for her birthday""

You also called me trash rn"
non-hateful,"""brownies tonight"" what kind?!?!"
non-hateful,"""No text back? I don't give a fuck, I'll text another bitch"" damn someone is hurt lol"
hateful,"""Ummmmmm okay you got hoes from left to right &do yah thang!"
non-hateful,"""using y=mx+b to find the slope of that ass"""
non-hateful,"""Fit lads! Nice gear! these scally lads n trainers would get it"
non-hateful,"""Hell yeah bro! fuck yeah sexy scally lad in hot gear"
non-hateful,"""Helping out a mate!! I love scally play. Fuck yeah"
non-hateful,"""Lads being Lads! fuck yeah. I love scally lad action. Hot trainers too."
non-hateful,"""Next year bitches is gonna be like you gotta promise you won't expose me &"
non-hateful,"""&hot!! RT Lick it, bitch fuck yeah. Eat that trainer u dirty fucker"
non-hateful,"""&think celebrity pussy different from the locals? &yeah Meghan goods is"""
non-hateful,"""""I saw an ajumma walk out in the beginning saying, 'Wow, this is so trash that I can't even listen to it..'"" &lmaoo"
